Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.1,6,1047,0.07815424377384492,0.1556248559556341,0.047559492,806.9899465622121,1.1748549938201904,2025-11-11 12:20:06
DP-KMeans,0.1,0,1041,0.04831202322895137,0.13575614814135245,0.024157178,989.8368278134282,1.1538009643554688,2025-11-11 12:20:19
DP-KMeans,0.1,7,1048,0.05701867283324499,0.13162459297511564,0.058163553,1008.9790477919266,1.2854907512664795,2025-11-11 12:20:19
DP-KMeans,0.1,2,1043,1.618753506308783e-05,0.002029767654505125,0.1915782,1210.7594418288322,1.1535191535949707,2025-11-11 12:20:19
DP-KMeans,0.1,5,1046,0.026932093688193708,0.08076397077888152,0.031954072,980.1621317124285,1.2544851303100586,2025-11-11 12:20:19
DP-KMeans,0.1,3,1044,-1.3121438080728349e-06,0.0009472000186943278,0.02307162,982.3732292639115,1.3318629264831543,2025-11-11 12:20:19
DP-KMeans,0.1,1,1042,8.727778227755405e-05,0.006236816941577916,0.032135345,941.7030175845393,1.3988349437713623,2025-11-11 12:20:19
DP-KMeans,0.1,4,1045,0.0010411363829844747,0.026526972679837803,0.19190228,1321.7287597139914,1.2187438011169434,2025-11-11 12:20:19
DP-KMeans,0.1,8,1049,0.0008349548203598338,0.012542745569742705,0.07706385,1156.0364769695032,1.579664945602417,2025-11-11 12:22:37
DP-KMeans,0.1,14,1055,0.06586222184273596,0.12319974452074968,0.045635827,985.5077681248042,1.2950091361999512,2025-11-11 12:22:56
DP-KMeans,0.1,17,1058,0.0,0.0,nan,1368.5961693581423,1.799147129058838,2025-11-11 12:22:58
DP-KMeans,0.1,9,1050,0.002297119062629351,0.03432559554012032,0.12805893,1083.5060475841672,1.2355749607086182,2025-11-11 12:22:59
DP-KMeans,0.1,18,1059,0.0,0.0,nan,1125.6517076341588,1.8634631633758545,2025-11-11 12:23:00
DP-KMeans,0.1,15,1056,0.04650760031161281,0.1164106054666805,0.07562447,1119.744078613611,1.4729089736938477,2025-11-11 12:23:02
DP-KMeans,0.1,11,1052,0.02343194110121653,0.10629906460128827,0.12159844,1094.2339995811622,1.1394152641296387,2025-11-11 12:23:04
DP-KMeans,0.1,13,1054,4.459554952661161e-06,0.0009345845795890427,0.027099254,1157.2031178875557,1.398040771484375,2025-11-11 12:23:04
DP-KMeans,0.1,10,1051,0.016234547647235163,0.08912858821047015,0.13525438,1233.1716293195302,1.465064287185669,2025-11-11 12:23:04
DP-KMeans,0.1,12,1053,3.937930750219885e-05,0.011715414734083425,-0.014552479,879.3465801077593,1.3429059982299805,2025-11-11 12:23:05
DP-KMeans,0.1,16,1057,0.06066710655122152,0.12042448912074034,0.046014953,1031.0789039737206,1.2494487762451172,2025-11-11 12:23:41
DP-KMeans,0.1,19,1060,0.061536577860079045,0.12722185131321048,0.041049547,927.6152184171033,2.110496997833252,2025-11-11 12:23:43
DP-KMeans,0.5,1,1042,0.276701749007195,0.40001664650201374,0.074602164,252.28379590928284,1.7219758033752441,2025-11-11 12:59:39
DP-KMeans,0.5,0,1041,0.18683914585078204,0.2850813193040854,0.03848593,395.52535030960865,1.5840160846710205,2025-11-11 12:59:41
